"codigo","area_ha","remanente_ecosistema_natural","area_a_reforestar"
"768900002000000030202000000000","274.649999999999977","77.1563859367628","197.49361406323717"
"768900002000000040003000000000","110.730000000000004","17.81713704914061","92.91286295085939"
"768900001000000080011000000000","80.510000000000005","18.16561011655642","62.34438988344358"
"768900002000000030204000000000","83.730000000000004","51.316216331241776","32.41378366875823"
"768900001000000080039000000000","49.659999999999997","19.045071847258015","30.61492815274198"
"768900002000000030206000000000","44.390000000000001","14.957914038633977","29.432085961366024"
"768900002000000030330000000000","35.350000000000001","6.73795672595219","28.61204327404781"
"768900001000000080035000000000","36.990000000000002","10.131193447370677","26.858806552629325"
"768900001000000080022000000000","24.270000000000000","5.9027632449477005","18.3672367550523"
"768900001000000080024000000000","20.809999999999999","3.0769782903616427","17.733021709638358"
"768900002000000030622000000000","25.390000000000001","7.7251144102122","17.6648855897878"
"768900001000000080034000000000","17.600000000000001","1.3902008923866598","16.209799107613343"
"768900001000000080318000000000","22.230000000000000","7.845345514761396","14.384654485238604"
"768900001000000080036000000000","16.550000000000001","4.593357494761537","11.956642505238463"
"768900001000000080023000000000","13.130000000000001","1.7728390869129385","11.357160913087062"
"768900001000000080038000000000","20.570000000000000","9.923695738087646","10.646304261912354"
"768900001000000080032000000000","12.600000000000000","1.9827342637247516","10.617265736275248"
"768900001000000080027000000000","11.770000000000000","2.820926957627684","8.949073042372316"
"768900001000000080095000000000","20.070000000000000","11.627143483682216","8.442856516317784"
"768900002000000030203000000000","391.209999999999980","383.3393935210241","7.870606478975901"
"768900001000000080420000000000","18.910000000000000","11.971313828108316","6.938686171891684"
"768900001000000080017000000000","12.760000000000000","5.972767067544651","6.787232932455349"
"768900001000000080014000000000","7.840000000000000","1.0649783649280213","6.775021635071979"
"768900001000000080015000000000","15.550000000000001","8.822484512274658","6.727515487725343"
"768900001000000080030000000000","14.490000000000000","7.773625280021185","6.716374719978815"
"768900001000000080178000000000","6.180000000000000","0.06314685243268187","6.116853147567318"
"768900001000000080148000000000","6.000000000000000","0.8732627566433661","5.126737243356634"
"768900001000000080003000000000","14.070000000000000","8.981893352058552","5.088106647941448"
"768900001000000080019000000000","5.740000000000000","1.822720612150991","3.9172793878490095"
"768900001000000080005000000000","3.790000000000000","0.49549912801495366","3.294500871985046"
"768900001000000080155000000000","7.650000000000000","4.486641586081403","3.1633584139185977"
"768900001000000080004000000000","2.670000000000000","0.14740969388685315","2.522590306113147"
"768900001000000080373000000000","2.140000000000000","0.20818171154370457","1.9318182884562956"
"768900001000000080379000000000","2.030000000000000","0.13726394988835913","1.8927360501116406"
"768900001000000080033000000000","2.300000000000000","0.4851423750673006","1.8148576249326993"
"768900001000000080009000000000","2.120000000000000","0.5075951081150515","1.6124048918849487"
"768900001000000080372000000000","3.870000000000000","2.2653888286382204","1.6046111713617797"
"768900001000000080248000000000","23.300000000000001","21.915503543111925","1.3844964568880762"
"768900001000000080020000000000","2.610000000000000","1.2576736978283063","1.3523263021716936"
"768900001000000080037000000000","1.760000000000000","0.6984109743901448","1.0615890256098552"
"768900001000000080377000000000","0.920000000000000","0.04713759070297245","0.8728624092970276"
"768900001000000080261000000000","0.870000000000000","0.11111636568609315","0.7588836343139068"
"768900001000000080007000000000","1.590000000000000","0.8352618094241542","0.7547381905758459"
"768900001000000080249000000000","7.370000000000000","6.633701281109562","0.7362987188904384"
"768900001000000080438000000000","1.160000000000000","0.43194764120336165","0.7280523587966383"
"768900001000000080010000000000","0.630000000000000","0.018610096819212073","0.6113899031807879"
"768900001000000080219000000000","18.840000000000000","18.344509199963493","0.4954908000365066"
"768900001000000080008000000000","0.510000000000000","0.015581585274655347","0.49441841472534465"
"768900001000000080332000000000","0.350000000000000","0.04499939587859394","0.30500060412140606"
"768900001000000080212000000000","0.300000000000000","9.849777180501484e-05","0.29990150222819495"
"768900001000000080016000000000","0.510000000000000","0.32030607266468714","0.18969392733531287"
"768900001000000080001000000000","0.910000000000000","0.8784251518178198","0.03157484818218026"
"768900001000000080002000000000","0.990000000000000","0.9942792923263287","-0.004279292326328732"
